campaign_name,date,impressions,clicks,spend,conversions,audience_segment,country,ad_format,objective,business_goal
Summer_Sale_US,2024-06-01,150000,4500,2500,180,18-24,US,display,ROAS,3.5
Summer_Sale_US,2024-06-02,148000,4600,2550,185,18-24,US,display,ROAS,3.5
Summer_Sale_EU,2024-06-01,95000,2850,1800,95,25-34,FR,video,Acquisition,200
Back_to_School,2024-06-01,200000,8000,5000,400,13-17,US,display,Acquisition,500
Back_to_School,2024-06-02,195000,8200,5100,410,13-17,US,display,Acquisition,500
Luxury_Brand_AW,2024-06-01,75000,1200,6000,30,35-50,UK,native,ROAS,5.0
Luxury_Brand_AW,2024-06-02,72000,1150,6200,28,35-50,UK,native,ROAS,5.0
Mobile_Gaming_US,2024-06-01,300000,18000,3500,520,18-24,US,interstitial,ROAS,2.0
Mobile_Gaming_US,2024-06-02,310000,18500,3600,540,18-24,US,interstitial,ROAS,2.0
Retargeting_FR,2024-06-01,45000,3150,800,250,25-34,FR,display,Acquisition,300
Retargeting_FR,2024-06-02,44000,3200,820,255,25-34,FR,display,Acquisition,300
Black_Friday_TEASE,2024-06-01,120000,9600,4200,180,all,US,video,ROAS,4.0
Black_Friday_TEASE,2024-06-02,125000,9800,4300,185,all,US,video,ROAS,4.0
Travel_DE,2024-06-01,68000,1700,1100,42,35-50,DE,display,Acquisition,150
Travel_DE,2024-06-02,67000,1750,1120,44,35-50,DE,display,Acquisition,150
Beauty_Influencer,2024-06-01,180000,10800,2800,320,18-24,US,social,ROAS,3.0
Beauty_Influencer,2024-06-02,185000,11200,2900,335,18-24,US,social,ROAS,3.0
Finance_App_UK,2024-06-01,95000,3800,5000,95,25-34,UK,display,Acquisition,400
Finance_App_UK,2024-06-02,93000,3700,5100,92,25-34,UK,display,Acquisition,400
Eco_Products_FR,2024-06-01,42000,840,900,25,35-50,FR,native,ROAS,2.5
Eco_Products_FR,2024-06-02,41000,850,920,24,35-50,FR,native,ROAS,2.5
